cell_id,lon,lat,x_coord,y_coord
63,6.393964601,50.91194779,316802.543,5643267.994
64,6.396023357,50.91318797,316952.1151,5643400.766
65,6.398082223,50.91442812,317101.6871,5643533.537
66,6.400141199,50.91566823,317251.2591,5643666.308
67,6.402200284,50.9169083,317400.8312,5643799.079
68,6.404259479,50.91814834,317550.4032,5643931.851
69,6.406318783,50.91938834,317699.9753,5644064.622
70,6.408378197,50.92062831,317849.5473,5644197.393
71,6.383576032,50.90320466,316037.882,5642321.795
72,6.385634128,50.90444501,316187.454,5642454.566
73,6.387692334,50.90568533,316337.0261,5642587.337
74,6.389750649,50.90692562,316486.5981,5642720.109
75,6.391809073,50.90816587,316636.1702,5642852.88
76,6.393867607,50.90940608,316785.7422,5642985.651
77,6.395926251,50.91064626,316935.3143,5643118.422
78,6.397985004,50.9118864,317084.8863,5643251.194
79,6.400043868,50.91312651,317234.4583,5643383.965
80,6.40210284,50.91436659,317384.0304,5643516.736
81,6.404161923,50.91560663,317533.6024,5643649.507
82,6.406221115,50.91684663,317683.1745,5643782.278
83,6.408280416,50.9180866,317832.7465,5643915.05
84,6.410339828,50.91932654,317982.3186,5644047.821
85,6.385537589,50.9019033,316170.6533,5642172.223
86,6.387595682,50.90314362,316320.2253,5642304.994
87,6.389653885,50.9043839,316469.7973,5642437.765
88,6.391712197,50.90562415,316619.3694,5642570.536
89,6.393770619,50.90686437,316768.9414,5642703.308
90,6.39582915,50.90810455,316918.5135,5642836.079
91,6.397887791,50.90934469,317068.0855,5642968.85
92,6.399946542,50.9105848,317217.6575,5643101.621
93,6.402005402,50.91182487,317367.2296,5643234.393
94,6.404064372,50.91306491,317516.8016,5643367.164
95,6.406123452,50.91430492,317666.3737,5643499.935
96,6.408182641,50.91554489,317815.9457,5643632.706
97,6.41024194,50.91678482,317965.5178,5643765.478
98,6.412301348,50.91802472,318115.0898,5643898.249
99,6.387499036,50.9006019,316303.4245,5642022.651
100,6.389557126,50.90184218,316452.9965,5642155.422
101,6.391615326,50.90308243,316602.5686,5642288.193
102,6.393673636,50.90432265,316752.1406,5642420.964
103,6.395732055,50.90556283,316901.7127,5642553.736
104,6.397790584,50.90680297,317051.2847,5642686.507
105,6.399849222,50.90804308,317200.8568,5642819.278
106,6.40190797,50.90928316,317350.4288,5642952.049
107,6.403966827,50.9105232,317500.0008,5643084.821
108,6.406025795,50.91176321,317649.5729,5643217.592
109,6.408084871,50.91300318,317799.1449,5643350.363
110,6.410144058,50.91424311,317948.717,5643483.134
111,6.412203354,50.91548301,318098.289,5643615.906
112,6.41426276,50.91672288,318247.8611,5643748.677
113,6.389460373,50.89930047,316436.1957,5641873.079
114,6.391518461,50.90054072,316585.7678,5642005.85
115,6.393576658,50.90178093,316735.3398,5642138.621
116,6.395634965,50.90302111,316884.9119,5642271.392
117,6.397693381,50.90426126,317034.4839,5642404.164
118,6.399751907,50.90550137,317184.056,5642536.935
119,6.401810543,50.90674145,317333.628,5642669.706
120,6.403869288,50.90798149,317483.2,5642802.477
121,6.405928143,50.90922149,317632.7721,5642935.249
122,6.407987107,50.91046146,317782.3441,5643068.02
